ADAMS,Adams (Pob.)
BACARRA,Bani
BACARRA,Buyon
BACARRA,Cabaruan
BACARRA,Cabulalaan
BACARRA,Cabusligan
BACARRA,Cadaratan
BACARRA,Calioet-Libong
BACARRA,Casilian
BACARRA,Corocor
BACARRA,Duripes
BACARRA,Ganagan
BACARRA,Libtong
BACARRA,Macupit
BACARRA,Nambaran
BACARRA,Natba
BACARRA,Paninaan
BACARRA,Pasiocan
BACARRA,Pasngal
BACARRA,Pipias
BACARRA,Pulangi
BACARRA,Pungto
BACARRA,San Agustin I (Pob.)
BACARRA,San Agustin II (Pob.)
BACARRA,San Andres I (Pob.)
BACARRA,San Andres II (Pob.)
BACARRA,San Gabriel I (Pob.)
BACARRA,San Gabriel II (Pob.)
BACARRA,San Pedro I (Pob.)
BACARRA,San Pedro II (Pob.)
BACARRA,San Roque I (Pob.)
BACARRA,San Roque II (Pob.)
BACARRA,San Simon I (Pob.)
BACARRA,San Simon II (Pob.)
BACARRA,San Vicente (Pob.)
BACARRA,Sangil
BACARRA,Santa Filomena I (Pob.)
BACARRA,Santa Filomena II (Pob.)
BACARRA,Santa Rita (Pob.)
BACARRA,Santo Cristo I (Pob.)
BACARRA,Santo Cristo II (Pob.)
BACARRA,Tambidao
BACARRA,Teppang
BACARRA,Tubburan
BADOC,Alay-Nangbabaan (Alay 15-B)
BADOC,Alogoog
BADOC,Ar-arusip
BADOC,Aring
BADOC,Balbaldez
BADOC,Bato
BADOC,Camanga
BADOC,Canaan (Pob.)
BADOC,Caraitan
BADOC,Gabut Norte
BADOC,Gabut Sur
BADOC,Garreta (Pob.)
BADOC,Labut
BADOC,Lacuben
BADOC,Lubigan
BADOC,Mabusag Norte
BADOC,Mabusag Sur
BADOC,Madupayas
BADOC,Morong
BADOC,Nagrebcan
BADOC,Napu
BADOC,La Virgen Milagrosa (Paguetpet)
BADOC,Pagsanahan Norte
BADOC,Pagsanahan Sur
BADOC,Paltit
BADOC,Parang
BADOC,Pasuc
BADOC,Santa Cruz Norte
BADOC,Santa Cruz Sur
BADOC,Saud
BADOC,Turod
BANGUI,Abaca
BANGUI,Bacsil
BANGUI,Banban
BANGUI,Baruyen
BANGUI,Dadaor
BANGUI,Lanao
BANGUI,Malasin
BANGUI,Manayon
BANGUI,Masikil
BANGUI,Nagbalagan
BANGUI,Payac
BANGUI,San Lorenzo (Pob.)
BANGUI,Taguiporo
BANGUI,Utol
CITY OF BATAC,Aglipay (Pob.)
CITY OF BATAC,Baay
CITY OF BATAC,Baligat
CITY OF BATAC,Bungon
CITY OF BATAC,Baoa East
CITY OF BATAC,Baoa West
CITY OF BATAC,Barani (Pob.)
CITY OF BATAC,Ben-agan (Pob.)
CITY OF BATAC,Bil-loca
CITY OF BATAC,Biningan
CITY OF BATAC,Callaguip (Pob.)
CITY OF BATAC,Camandingan
CITY OF BATAC,Camguidan
CITY OF BATAC,Cangrunaan (Pob.)
CITY OF BATAC,Capacuan
CITY OF BATAC,Caunayan (Pob.)
CITY OF BATAC,Valdez Pob. (Caoayan)
CITY OF BATAC,Colo
CITY OF BATAC,Pimentel (Cubol)
CITY OF BATAC,Dariwdiw
CITY OF BATAC,Acosta Pob. (Iloilo)
CITY OF BATAC,Ablan Pob. (Labucao)
CITY OF BATAC,Lacub (Pob.)
CITY OF BATAC,Mabaleng
CITY OF BATAC,Magnuang
CITY OF BATAC,Maipalig
CITY OF BATAC,Nagbacalan
CITY OF BATAC,Naguirangan
CITY OF BATAC,Ricarte Pob. (Nalasin)
CITY OF BATAC,Palongpong
CITY OF BATAC,Palpalicong (Pob.)
CITY OF BATAC,Parangopong
CITY OF BATAC,Payao
CITY OF BATAC,Quiling Norte
CITY OF BATAC,Quiling Sur
CITY OF BATAC,Quiom
CITY OF BATAC,Rayuray
CITY OF BATAC,San Julian (Pob.)
CITY OF BATAC,San Mateo
CITY OF BATAC,San Pedro
CITY OF BATAC,Suabit (Pob.)
CITY OF BATAC,Sumader
CITY OF BATAC,Tabug
BURGOS,Ablan Sarat
BURGOS,Agaga
BURGOS,Bayog
BURGOS,Bobon
BURGOS,Buduan (Malituek)
BURGOS,Nagsurot
BURGOS,Paayas
BURGOS,Pagali
BURGOS,Poblacion
BURGOS,Saoit
BURGOS,Tanap
CARASI,Angset
CARASI,Barbaqueso (Pob.)
CARASI,Virbira
CURRIMAO,Anggapang Norte
CURRIMAO,Anggapang Sur
CURRIMAO,Bimmanga
CURRIMAO,Cabuusan
CURRIMAO,Comcomloong
CURRIMAO,Gaang
CURRIMAO,Lang-ayan-Baramban
CURRIMAO,Lioes
CURRIMAO,Maglaoi Centro
CURRIMAO,Maglaoi Norte
CURRIMAO,Maglaoi Sur
CURRIMAO,Paguludan-Salindeg
CURRIMAO,Pangil
CURRIMAO,Pias Norte
CURRIMAO,Pias Sur
CURRIMAO,Poblacion I
CURRIMAO,Poblacion II
CURRIMAO,Salugan
CURRIMAO,San Simeon
CURRIMAO,Santa Cruz
CURRIMAO,Tapao-Tigue
CURRIMAO,Torre
CURRIMAO,Victoria
DINGRAS,Albano (Pob.)
DINGRAS,Bacsil
DINGRAS,Bagut
DINGRAS,Parado (Bangay)
DINGRAS,Baresbes
DINGRAS,Barong
DINGRAS,Bungcag
DINGRAS,Cali
DINGRAS,Capasan
DINGRAS,Dancel (Pob.)
DINGRAS,Foz
DINGRAS,Guerrero (Pob.)
DINGRAS,Lanas
DINGRAS,Lumbad
DINGRAS,Madamba (Pob.)
DINGRAS,Mandaloque
DINGRAS,Medina
DINGRAS,Ver (Naglayaan)
DINGRAS,San Marcelino (Padong)
DINGRAS,Puruganan (Pob.)
DINGRAS,Peralta (Pob.)
DINGRAS,Root (Baldias)
DINGRAS,Sagpatan
DINGRAS,Saludares
DINGRAS,San Esteban
DINGRAS,Espiritu
DINGRAS,Sulquiano (Sidiran)
DINGRAS,San Francisco (Surrate)
DINGRAS,Suyo
DINGRAS,San Marcos
DINGRAS,Elizabeth
DUMALNEG,Dumalneg
DUMALNEG,San Isidro
BANNA (ESPIRITU),Balioeg
BANNA (ESPIRITU),Bangsar
BANNA (ESPIRITU),Barbarangay
BANNA (ESPIRITU),Bomitog
BANNA (ESPIRITU),Bugasi
BANNA (ESPIRITU),Caestebanan
BANNA (ESPIRITU),Caribquib
BANNA (ESPIRITU),Catagtaguen
BANNA (ESPIRITU),Crispina
BANNA (ESPIRITU),Hilario (Pob.)
BANNA (ESPIRITU),Imelda
BANNA (ESPIRITU),Lorenzo (Pob.)
BANNA (ESPIRITU),Macayepyep
BANNA (ESPIRITU),Marcos (Pob.)
BANNA (ESPIRITU),Nagpatayan
BANNA (ESPIRITU),Valdez
BANNA (ESPIRITU),Sinamar
BANNA (ESPIRITU),Tabtabagan
BANNA (ESPIRITU),Valenciano (Pob.)
BANNA (ESPIRITU),Binacag
LAOAG CITY (Capital),"Bgy. No. 42, Apaya"
LAOAG CITY (Capital),"Bgy. No. 36, Araniw"
LAOAG CITY (Capital),"Bgy. No. 56-A, Bacsil North"
LAOAG CITY (Capital),"Bgy. No. 56-B, Bacsil South"
LAOAG CITY (Capital),"Bgy. No. 41, Balacad"
LAOAG CITY (Capital),"Bgy. No. 40, Balatong"
LAOAG CITY (Capital),"Bgy. No. 55-A, Barit-Pandan"
LAOAG CITY (Capital),"Bgy. No. 47, Bengcag"
LAOAG CITY (Capital),"Bgy. No. 50, Buttong"
LAOAG CITY (Capital),"Bgy. No. 60-A, Caaoacan"
LAOAG CITY (Capital),"Bry. No. 48-A, Cabungaan North"
LAOAG CITY (Capital),"Bgy. No. 48-B, Cabungaan South"
LAOAG CITY (Capital),"Bgy. No. 37, Calayab"
LAOAG CITY (Capital),"Bgy. No. 54-B, Camangaan"
LAOAG CITY (Capital),"Bgy. No. 58, Casili"
LAOAG CITY (Capital),"Bgy. No. 61, Cataban"
LAOAG CITY (Capital),"Bgy. No. 43, Cavit"
LAOAG CITY (Capital),"Bgy. No. 49-A, Darayday"
LAOAG CITY (Capital),"Bgy. No. 59-B, Dibua North"
LAOAG CITY (Capital),"Bgy. No. 59-A, Dibua South"
LAOAG CITY (Capital),"Bgy. No. 34-B, Gabu Norte East"
LAOAG CITY (Capital),"Bgy. No. 34-A, Gabu Norte West"
LAOAG CITY (Capital),"Bgy. No. 35, Gabu Sur"
LAOAG CITY (Capital),Bgy. No. 32-C La Paz East
LAOAG CITY (Capital),"Bgy. No. 33-B, La Paz Proper"
LAOAG CITY (Capital),"Bgy. No. 32-B, La Paz West"
LAOAG CITY (Capital),"Bgy. No. 54-A, Lagui-Sail"
LAOAG CITY (Capital),"Bgy. No. 32-A, La Paz East"
LAOAG CITY (Capital),"Bgy. No. 33-A, La Paz Proper"
LAOAG CITY (Capital),"Bgy. No. 52-B, Lataag"
LAOAG CITY (Capital),"Bgy. No. 60-B, Madiladig"
LAOAG CITY (Capital),"Bgy. No. 38-A, Mangato East"
LAOAG CITY (Capital),"Bgy. No. 38-B, Mangato West"
LAOAG CITY (Capital),"Bgy. No. 62-A, Navotas North"
LAOAG CITY (Capital),"Bgy. No. 62-B, Navotas South"
LAOAG CITY (Capital),"Bgy. No. 46, Nalbo"
LAOAG CITY (Capital),"Bgy. No. 51-A, Nangalisan East"
LAOAG CITY (Capital),"Bgy. No. 51-B, Nangalisan West"
LAOAG CITY (Capital),"Bgy. No. 24, Nstra. Sra. De Consolacion (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 7-A, Nstra. Sra. De Natividad (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 7-B, Nstra. Sra. De Natividad (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 27, Nstra. Sra. De Soledad (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 13, Nstra. Sra. De Visitacion (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 3, Nstra. Sra. Del Rosario (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 57, Pila"
LAOAG CITY (Capital),"Bgy. No. 49-B, Raraburan"
LAOAG CITY (Capital),"Bgy. No. 53, Rioeng"
LAOAG CITY (Capital),"Bgy. No. 55-B, Salet-Bulangon"
LAOAG CITY (Capital),"Bgy. No. 6, San Agustin (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 22, San Andres (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 28, San Bernardo (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 17, San Francisco (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 4, San Guillermo (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 15, San Guillermo (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 12, San Isidro (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 16, San Jacinto (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 10, San Jose (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 1, San Lorenzo (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 26, San Marcelino (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 52-A, San Mateo"
LAOAG CITY (Capital),"Bgy. No. 23, San Matias (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 20, San Miguel (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 21, San Pedro (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 5, San Pedro (Pob.)"
LAOAG CITY (Capital),"Bry. No. 18, San Quirino (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 8, San Vicente (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 9, Santa Angela (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 11, Santa Balbina (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 25, Santa Cayetana (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 2, Santa Joaquina (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 19, Santa Marcela (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 30-B, Santa Maria"
LAOAG CITY (Capital),"Bgy. No. 39, Santa Rosa"
LAOAG CITY (Capital),"Bgy. No. 14, Santo Tomas (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 29, Santo Tomas (Pob.)"
LAOAG CITY (Capital),"Bgy. No. 30-A, Suyo"
LAOAG CITY (Capital),"Bgy. No. 31, Talingaan"
LAOAG CITY (Capital),"Bgy. No. 45, Tangid"
LAOAG CITY (Capital),"Bgy. No. 55-C, Vira"
LAOAG CITY (Capital),"Bgy. No. 44, Zamboanga"
MARCOS,Pacifico (Agunit)
MARCOS,Imelda (Capariaan)
MARCOS,Elizabeth (Culao)
MARCOS,Daquioag
MARCOS,Escoda
MARCOS,Ferdinand
MARCOS,Fortuna
MARCOS,Lydia (Pob.)
MARCOS,Mabuti
MARCOS,Valdez (Biding)
MARCOS,Tabucbuc (Ragas)
MARCOS,Santiago
MARCOS,Cacafean
NUEVA ERA,Acnam
NUEVA ERA,Barangobong
NUEVA ERA,Barikir
NUEVA ERA,Bugayong
NUEVA ERA,Cabittauran
NUEVA ERA,Caray
NUEVA ERA,Garnaden
NUEVA ERA,Naguillan (Pagpag-ong)
NUEVA ERA,Poblacion
NUEVA ERA,Santo Ni├▒o
NUEVA ERA,Uguis
PAGUDPUD,Aggasi
PAGUDPUD,Baduang
PAGUDPUD,Balaoi
PAGUDPUD,Burayoc
PAGUDPUD,Caunayan
PAGUDPUD,Dampig
PAGUDPUD,Ligaya
PAGUDPUD,Pancian
PAGUDPUD,Pasaleng
PAGUDPUD,Poblacion 1
PAGUDPUD,Poblacion 2
PAGUDPUD,Saguigui
PAGUDPUD,Saud
PAGUDPUD,Subec
PAGUDPUD,Tarrag
PAGUDPUD,Caparispisan
PAOAY,Bacsil
PAOAY,Cabagoan
PAOAY,Cabangaran
PAOAY,Callaguip
PAOAY,Cayubog
PAOAY,Dolores
PAOAY,Laoa
PAOAY,Masintoc
PAOAY,Monte
PAOAY,Mumulaan
PAOAY,Nagbacalan
PAOAY,Nalasin
PAOAY,Nanguyudan
PAOAY,Oaig-Upay-Abulao
PAOAY,Pambaran
PAOAY,Pannaratan (Pob.)
PAOAY,Paratong
PAOAY,Pasil
